Reporting_Month,Timestamp,Supplier_Name,Stage_Invoked,Mandatory_Restrictions,Total_Monthly_Potable_Water_Production_2014_2015,Total_Monthly_Potable_Water_Production_2013,Optional_Recycled_Water,Recycled_Water_Units,Units,Qualification,Total_Population_Served,REPORTED_Residential_Gallons_per_Capita_Day,Optional_Enforcement_Actions,Optional_Implementation,CALCULATED_Production_Monthly_Gallons_Month_2014_2015,CALCULATED_Production_Monthly_Gallons_Month_2013,CALCULATED_R_GPCD_2014_2015,Percent_Residential_Use,Comments_Corrections,Hydrologic_Region,CALCULATED_R_GPCD_2013
15-Jun,06/01/2015 00:00,Beverly Hills  City of,Stage D,Yes,841.7,1077.4,-99999,NULL,AF,"Monthly production is calculated from local production and Metropolitan Water District (MWD) purchases. The percentage of residential use is calculated using the volume of water consumed by residential accounts compared to monthly production. Commercial, industrial and institutional use is calculated as a percentage of Monthly production; that percentage is determined from the formula 100 - [Percent Residential Use] - [Percent Non-Revenue Water]. ",42157,154,"Outdoor Water Schedule & Restrictions (Unenforced - ordinance approved May 18, 2015 effective June 30, 2015 days); Mandatory 30% Water Reductions; Warning (1st Offense), Penalties (2nd & subsequent); Restaurants shall serve water upon request only; Public restrooms in the City and private bathrooms in hotels shall post notice of water conservation goals; Plumbing and irrigation leaks shall be repaired as soon as practicable; City may issue notices to repair visible leaks; Complete refilling of swimming pools, spas, or ponds are prohibited except for health and safety reasons; Water fountains shall be prohibited unless the water is recirculated; Exterior washdown of buildings and washdown of vehicles shall be prohibited; Water usage from fire hydrants shall be limited to firefighting, related activities or other activities necessary to maintain the public health, safety and welfare; Violation by any person of the stage D mandatory requirements shall constitute a misdemeanor and, upon conviction, shall be punished by a fine not to exceed one thousand dollars ($1,000.00). Continued excessive use may result in a termination of water supply through irrigation water services and/or restriction of water supply through domestic meters. The violation of each element, and each separate violation thereof, shall be deemed a separate offense, and shall be punished accordingly. ",City Provided Customer-Based Web Portal Providing Water Consumption Information to Accountholders; System Water Audits and Leak Detection Program; Prohibit Washing Down of Driveways and Sidewalks; Prohibit Excess Watering/Runoff; Use Shut-off Nozzle when Washing Vehicles; Prohibit Water Feature unless Water is Recirculated; Smart Infrastructure-AMI system; Partnership w/MWD for In/Outdoor Rebate Programs; Landscape Irrigation Ordinance; Public Outreach and Education,274269146,351072327,154,0.71,No Correction,South Coast,197.1
15-Jun,06/01/2015 00:00,Big Bear City Community Services District,2,Yes,94.6,139.08,-99999,NULL,AF,8.99% of our production provided water to a pond for the endangered 3 spine stickleback fish. .01% of our production went to supplying water for the Lake Fire incident in our area.,12411,82.78,We are currently patrolling our service area in order to educate the public on our water conservation efforts and looking for water wasters.,,30825545,45319416,75.3,0.91,No Correction,South Coast,110.8
15-Jun,06/01/2015 00:00,Blythe  City of,1,Yes,101.9,126.7,-99999,NULL,MG,"Residential water use is calculated using consumption data by comparing residential water uses (RESSIF: residential single family; RESMUF: residential multifamily) to the remaining accounts such as irrigation, commercial, and public entities.",13839,126.9,Per Ordinance No 871-15  First Violation - Written Notice Second Violation (within 12 months of the first violation)  - Final Written Notice. Third violation (within 12 months of the first violation) - $100 surcharge in customer water bill Fourth Violation (within 12 months of the first violation) - $150 surcharge in customer water bill Fifth or more violations within 12 months of the first violation) - $200 surcharge in customer water bill    ,"Ordinance No 871-15 was approved by Council on May 26, 2015. The Ordinance added Chapter 13.05 (Water Conservation) to Title 13 (Public Services) of the Blythe Municipal Code. The purpose and policy states that due to the water conditions prevailing in the State of California, it is necessary and appropriate to adopt a water conservation program to reduce the water used by persons in the City.",101900000,126700000,127.6,0.52,No Correction,Colorado River,158.7
15-Jun,06/01/2015 00:00,Brawley  City of,second stage,No,176.74,290.16,0,NULL,MG,,27743,113,,,176740000,290160000,114.7,0.54,No Correction,Colorado River,188.3
15-Jun,06/01/2015 00:00,Brea  City of,2,Yes,908.8,1061,0,NULL,AF,,43328,92,Education and Administrative citations when non compliant with Phase 2 regulations of Water Ordinance 1123,,296133777,345728364,91.1,0.4,No Correction,South Coast,106.4
15-Jun,06/01/2015 00:00,Brentwood  City of,Stage III Yes,Yes,263.6,461.19,13.96,NULL,MG,,56493,101.27,"City Council passed three drought related ordinances, created penalty tiers and rebates.","Implemented rebate program, cash for grass, recycled water fill station free to residents, outreach through water audits, informational video and staff presence at events such as Farmers Market etc. ",263600000,461190000,108.6,0.698,DATA CORRECTION,San Joaquin River,189.9
15-Jun,06/01/2015 00:00,Buena Park  City of,Phase II,Yes,1126,1497,-99999,NULL,AF,,82767,87,"Public complaints (Qty. 40) include only calls from public, while contact and follow-ups (Qty. 263) include all contacts made within the service area during the month on June 2015.  ",,366908707,487799586,87.2,0.59,No Correction,South Coast,115.9
15-Jun,06/01/2015 00:00,Burbank  City of,3,Yes,1319.8,1784.3,-99999,NULL,AF,,106084,97.12,Every complaint is followed up with a letter. Every letter now mentions possible fines.,,430058713,581416701,97.1,0.7187,No Correction,South Coast,131.3
15-Jun,06/01/2015 00:00,Burlingame  City of,,Yes,103884729,165840571,-99999,NULL,G,"Data to determine CII and percent residential use is based upon bi-monthly billing. The CII and percent residential calculations are the average value over May and June billing cycles. Total monthly production is based upon meters from the SFPUC. Because the meter readings do not necessarily occur at the beginning and end of the month and because the readings from 2013 do not necessarily correspond with the same days as during subsequent months, the monthly production values have been interpolated to account for the variation in water meter reading days from SFPUC.",30282,62.2,,,103884729,165840571,62.2,0.544,No Correction,San Francisco Bay,99.3
15-Jun,06/01/2015 00:00,Calaveras County Water District,Stage 3.5,Yes,130.803,216.476,-99999,NULL,MG,"In accordance with guidance from the State Water Resources Control Board (SWRCB), the Calaveras County Water District has excluded water used by commercial accounts, non-revenue water and wholesale accounts from Percentage Residential Use. Additionally, CCWD analyzed peak population during the summer months and has applied a population multiplier to account for the large influx of tourists & non-permanent homeowners who come to Calaveras County in large groups, which substantially increases water use in at least two of our service areas on the Highway 4 Corridor. These adjustments are reflected in CCWD's report of Percentage Residential Use & Total Population Served.",48630,56.48,"CCWD will strive to educate and inform customers of conservation measures before taking enforcement action. If customers violate Ordinance 2015-01, which includes Stage 3.5 Mandatory Water Conservation Measures, they will first receive a written warning letter. If CCWD staff witnesses a second violation of the ordinance, the District may impose a $100 fine, install a flow-restricting device, or both. If CCWD staff witnesses a third violation, the District may impose a $200 fine. If CCWD staff witnesses any additional violations of the ordinance, a $500 fine may be imposed. The district may also pursue a misdemeanor violation of California Water Code Section 31029. If convicted of this crime, a person could be put in jail for up to 30 days, fined up to $600 or both.","CCWD will continue to expand its Water Conservation Program through public outreach, education, conservation rebates and partnering with local community groups and agencies; All outdoor watering is prohibited between 9 a.m. and 7 p.m.; Customers are limited to two days per week outdoor watering: Tuesdays & Saturdays for odd-numbered addresses and Wednesdays and Sundays for even-numbered addresses. Those who are growing gardens, orchards or have newly planted native or drought-tolerant landscaping are allowed one additional watering day; Excessive irrigation that allows runoff is prohibited; Customers must fix or stop leaks within 72 hours of being notified by CCWD; washing down of hardscape is prohibited; irrigating outdoors during, and with 48 hours of, measureable rain is prohibited; Watering of ornamental turf on public street medians is prohibited; Using a hose without an automatic shut-off valve to wash vehicles, boats or trailers is prohibited; Use of potable water in decorative fountains and recreational ponds is prohibited unless the water is recirculated; Filling of new or existing pools is prohibited; Restaurants and other food establishments shall only serve and refill water for patrons upon request. Restaurant owners are encouraged to use table cards to help convey the conservation message; Hotels and motels must offer their guests the option to not have their linens and towels laundered daily and must prominently display this option in each guest room; Water for irrigation of commercial landscapes, schools and parks shall be reduced by 35%; Raw and potable water deliveries to golf courses may only be used to irrigate tees and greens and will not be provided unless golf courses have maximized their use of available recycled water; If available, treated effluent will be used for dust control as per state regulations (if a dust control permit is issued by the State); No new irrigation meters will be approved; Line flushing will not be performed, except when necessary to comply with state and federal public health and safety requirements for operation of permitted potable water systems; CCWD customers must adhere to all other applicable water conservation requirements mandated by the State of California, including the Governor, the State Water Resources Control Board, and the State Legislature; CCWD staff are authorized to investigate alleged violations of this Ordinance, to make determinations as to whether a violation has occurred, and to issue warning notices and administrative fines under this Ordinance.",130803000,216476000,56.5,0.63,No Correction,San Joaquin River,93.5
15-Jun,06/01/2015 00:00,Calexico  City of,2,Yes,177.86,230.8,0,NULL,MG,,41033,97.88,,,177860000,230800000,101.1,0.7,No Correction,Colorado River,131.2
15-Jun,06/01/2015 00:00,California City  City of,Stage II,Yes,401.4,498.7,45.48,NULL,AF,,14120,137,Customers made corrections of violation on verbal contact.,The City is preparing to launch its new web site that will have new tools for reporting water waste and will include water conservation tools and information.,130796763,162502107,169.5,0.549,No Correction,South Lahontan,210.6
15-Jun,06/01/2015 00:00,California Water Service Company Antelope Valley,2,Yes,55.6,96.3,-99999,NULL,AF,CII quantity of water includes all non-residential sales.,3393,160.5,,,18117339,31379492,160.5,0.902,No Correction,South Lahontan,278.1
15-Jun,06/01/2015 00:00,California Water Service Company Bakersfield,2,Yes,5649.3,8331.3,-99999,NULL,AF,CII quantity of water includes all non-residential sales.,278409,162.7,,,1840832467,2714765994,162.7,0.738,No Correction,Tulare Lake,239.9
15-Jun,06/01/2015 00:00,California Water Service Company Bear Gulch,2,Yes,1032.3,1742.8,-99999,NULL,AF,CII quantity of water includes all non-residential sales.,59440,165.8,,,336376428,567893867,164.7,0.873,No Correction,San Francisco Bay,278
15-Jun,06/01/2015 00:00,California Water Service Company Chico District,2,Yes,1828.1,3157.9,-99999,NULL,AF,CII quantity of water includes all non-residential sales.,101662,134,,,595688994,1029006221,138.5,0.709,No Correction,Sacramento River,239.2
15-Jun,06/01/2015 00:00,"California Water Service Company Dixon, City of",2,Yes,113.5,176.2,-99999,NULL,AF,CII quantity of water includes all non-residential sales.,9841,110.5,,,36984137,57415021,110.6,0.883,No Correction,Sacramento River,171.7
15-Jun,06/01/2015 00:00,California Water Service Company Dominguez,2,Yes,2819.1,2790.3,-99999,NULL,AF,CII quantity of water includes all non-residential sales.,142154,69.4,"The numbers for the Water Waste Complaints, Contact Follow-ups, and Warning Actions includes: California Water Service Company Palos Verdes (491), California Water Service Company Hermosa/Redondo (467), and Hawthorne City of (405) service areas.",,918607758,909223237,69.4,0.322,No Correction,South Coast,68.7
15-Jun,06/01/2015 00:00,California Water Service Company East Los Angeles,2,Yes,1208.9,1441.7,-99999,NULL,AF,CII quantity of water includes all non-residential sales.,157522,45,,,393921790,469780002,45,0.54,No Correction,South Coast,53.7
15-Jun,06/01/2015 00:00,California Water Service Company Hermosa/Redondo,2,Yes,910.2,1139.9,-99999,NULL,AF,CII quantity of water includes all non-residential sales.,95750,78.4,"The numbers for the Water Waste Complaints, Contact Follow-ups, and Warning Actions have been combined with California Water Service Company Dominguez (465).",,296589969,371438042,78.5,0.76,No Correction,South Coast,98.3
15-Jun,06/01/2015 00:00,California Water Service Company Kern River Valley,2,Yes,74.6,89.2,-99999,NULL,AF,CII quantity of water includes all non-residential sales.,5605,128.9,,,24308516,29065947,128.8,0.891,No Correction,Tulare Lake,154
15-Jun,06/01/2015 00:00,California Water Service Company King City,2,Yes,134.7,179.4,-99999,NULL,AF,CII quantity of water includes all non-residential sales.,14818,48.8,,,43892187,58457746,48.8,0.494,No Correction,Central Coast,65
15-Jun,06/01/2015 00:00,California Water Service Company Livermore,2,Yes,664,1298.4,-99999,NULL,AF,CII quantity of water includes all non-residential sales.,57984,92.2,,,216365348,423085493,92.2,0.741,No Correction,San Francisco Bay,180.2
15-Jun,06/01/2015 00:00,California Water Service Company Los Altos/Suburban,2,Yes,976.3,1638.6,-99999,NULL,AF,CII quantity of water includes all non-residential sales.,68163,119.5,,,318128748,533940148,119.5,0.768,No Correction,San Francisco Bay,200.5
15-Jun,06/01/2015 00:00,California Water Service Company Marysville,2,Yes,183.3,270.3,-99999,NULL,AF,CII quantity of water includes all non-residential sales.,12177,106.2,,,59728567,88077641,106.3,0.65,No Correction,Sacramento River,156.7
15-Jun,06/01/2015 00:00,California Water Service Company Mid Peninsula,2,Yes,1136,1611.3,-99999,NULL,AF,CII quantity of water includes all non-residential sales.,133029,66.9,"The numbers for the Water Waste Complaints, Contact Follow-ups, and Warning Actions includes the California Water Service Company South San Francisco (498) service area.",,370167221,525044404,67,0.722,No Correction,San Francisco Bay,95
15-Jun,06/01/2015 00:00,California Water Service Company Oroville,2,Yes,217.8,322,-99999,NULL,AF,CII quantity of water includes all non-residential sales.,10640,107.6,,,70970441,104924159,107.6,0.484,No Correction,Sacramento River,159.1
15-Jun,06/01/2015 00:00,California Water Service Company Palos Verdes,2,Yes,1387.3,2034.3,-99999,NULL,AF,CII quantity of water includes all non-residential sales.,69904,178.1,"The numbers for the Water Waste Complaints, Contact Follow-ups, and Warning Actions have been combined with California Water Service Company Dominguez (465).",,452053685,662879558,178.1,0.826,No Correction,South Coast,261.1
15-Jun,06/01/2015 00:00,California Water Service Company Redwood Valley,2,Yes,26.6,43,-99999,NULL,AF,CII quantity of water includes all non-residential sales.,3628,76.2,,,8667648,14011611,76.3,0.958,No Correction,North Coast,123.3
15-Jun,06/01/2015 00:00,California Water Service Company Salinas District,2,Yes,1390.9,1965.4,-99999,NULL,AF,CII quantity of water includes all non-residential sales.,121063,67.6,,,453226750,640428395,67.6,0.542,No Correction,Central Coast,95.6
15-Jun,06/01/2015 00:00,California Water Service Company Selma,2,Yes,442.8,732.8,-99999,NULL,AF,CII quantity of water includes all non-residential sales.,24627,159.3,,,144287012,238783926,159.4,0.816,No Correction,Tulare Lake,263.7
15-Jun,06/01/2015 00:00,California Water Service Company South San Francisco,2,Yes,597.3,806.8,-99999,NULL,AF,CII quantity of water includes all non-residential sales.,61069,42.8,"The numbers for the Water Waste Complaints, Contact Follow-ups, and Warning Actions have been combined with California Water Service Company Mid Peninsula (489) service area.",,194631057,262896931,42.8,0.403,No Correction,San Francisco Bay,57.8
15-Jun,06/01/2015 00:00,California Water Service Company Stockton,2,Yes,2178.2,3039.8,-99999,NULL,AF,CII quantity of water includes all non-residential sales.,170577,78.7,,,709769578,990523168,78.6,0.567,No Correction,San Joaquin River,109.8
15-Jun,06/01/2015 00:00,California Water Service Company Visalia,2,Yes,2819.4,3771,-99999,NULL,AF,CII quantity of water includes all non-residential sales.,138370,157.3,,,918705513,1228785731,157.4,0.711,No Correction,Tulare Lake,210.5
15-Jun,06/01/2015 00:00,California Water Service Company Westlake,2,Yes,579.6,834.2,-99999,NULL,AF,CII quantity of water includes all non-residential sales.,19461,229.9,,,188863487,271825260,230,0.711,No Correction,South Coast,331
15-Jun,06/01/2015 00:00,California Water Service Company Willows,2,Yes,115.1,184.3,-99999,NULL,AF,CII quantity of water includes all non-residential sales.,7150,131.5,,,37505499,60054418,131.5,0.752,No Correction,Sacramento River,210.5
15-Jun,06/01/2015 00:00,California-American Water Company Los Angeles District,"CPUC Rule 14.1, Stage 2",Yes,1521,2164,-99999,NULL,AF,"The CPUC has approved CA American Water's revised tariff Rule 14.1, Stage 2 mandatory water conservation, which limits outdoor watering to 2 days per week for all areas served by CA American Water. This revised tariff is in effect as of June 1, 2015.",102889,125,,,495620020,705142488,125.2,0.78,No Correction,South Coast,178.2
15-Jun,06/01/2015 00:00,California-American Water Company Monterey District,CPUC Rule 14.1.1 Stage 1/ CPUC Rule 14.1 Stage 2,Yes,899.94,1120.75,0,NULL,AF,"The following PWS ID numbers: CA2710004, CA2701466, CA2701882, and CA2710022 are under CPUC Rule 14.1.1. The CPUC has approved CA American Water's revised tariff Rule 14.1, Stage 2 mandatory water conservation, which limits outdoor watering to 2 days per week for the following PWS ID numbers: CA2710021, CA2710006, CA2702004, CA2701202, and CA2701257.  This revised tariff (Rule 14.1, Stage 2) is in effect as of June 1, 2015. Total Monthly Potable Water Production reported is the Total Production from the following PWS ID numbers: CA2710004, CA2701466, CA2701882, CA2710022, CA2710021, CA2710006, CA2702004, CA2701202, and CA2701257, which are all within California American Water Companyês Monterey District.    Enforcement Actions: (included here because unable to enter in the Enforcement Actions section) All water waste complaints and enforcement of violations in the Monterey Service Area are handled by the Monterey Peninsula Water Management District (MPWMD).  Water waste complaints received, or violations observed by California American Water are immediately forwarded to MPWMD.",100623,66.4,,"The Monterey District has adopted Conservation measures and programs as early as October 1979 and has been a leader in Conservation efforts and water reductions for years. The Monterey District has offered extensive rebate, education and conservation retrofit programs for its customers long before similar programs were adopted by other water utilities. Current rebate program offerings include generous incentives for customers to retrofit indoor plumbing and outdoor irrigation devices in addition to turf removal and grey water systems. Local Code Regulations enforced through the Monterey Peninsula Water Management District (MPWMD) include significant requirements for new construction; visitor -serving commercial uses; and Commercial, Industrial and Institutional customers. Any further usage reduction accomplished should be evaluated in light of the significant successes this District has already achieved.",293246733,365197987,66.1,0.68,No Correction,Central Coast,82.3
15-Jun,06/01/2015 00:00,California-American Water Company Sacramento District,"CPUC Rule 14.1, Stage 2",Yes,2535,4098,-99999,NULL,AF,"The CPUC has approved CA American Water's revised tariff Rule 14.1, Stage 2 mandatory water conservation, which limits outdoor watering to 2 days per week for all areas served by CA American Water. This revised tariff is in effect as of June 1, 2015.",201418,106,,,826033367,1335339148,106.6,0.78,No Correction,Sacramento River,172.4
15-Jun,06/01/2015 00:00,California-American Water Company San Diego District,"CPUC Rule 14.1, Stage 2",Yes,823,1127,-99999,NULL,AF,"The CPUC has approved CA American Water's revised tariff Rule 14.1, Stage 2 mandatory water conservation, which limits outdoor watering to 2 days per week for all areas served by CA American Water. This revised tariff is in effect as of June 1, 2015.",95358,68,,,268175724,367234558,68.4,0.73,No Correction,South Coast,93.7
15-Jun,06/01/2015 00:00,California-American Water Ventura District,"CPUC Rule 14.1, Stage 2",Yes,1257,1721,-99999,NULL,AF,"The CPUC has approved CA American Water's revised tariff Rule 14.1, Stage 2 mandatory water conservation, which limits outdoor watering to 2 days per week for all areas served by CA American Water. This revised tariff is in effect as of June 1, 2015.",62144,148,,,409595244,560790306,147.2,0.67,No Correction,South Coast,201.5
15-Jun,06/01/2015 00:00,Camarillo  City of,2,Yes,688.19,896.3,9.9,NULL,AF,,47018,87.53,"21 first violation citations, 41 friendly reminder door tags",,218613722,282193853,90.4,0.5689,No Correction,South Coast,117.8
15-Jun,06/01/2015 00:00,Cambria Community Services District,stage 3,Yes,40.65,73.58,0,NULL,AF,,6032,37.081,,,13245861,23976148,37.1,0.5066,No Correction,Central Coast,67.1
15-Jun,06/01/2015 00:00,Camrosa Water District,Stage Three,Yes,697,939,-99999,NULL,AF,,34483,135,,,203005439,262310399,152.6,0.6952,No Correction,South Coast,205.6
15-Jun,06/01/2015 00:00,Carlsbad Municipal Water District,Level 2,Yes,1303.2,1728.5,300.3,NULL,AF,H2O Use Breakdown: D=0.95% M/M1=11.5%   S/SF=52.3%  Add'l Info: We have had a WaterSmart and Water Audits program for years.  We finished converting meters to AMR in FY15.  FY16 begins phase 1 of installing AMI. Using interns and meter staff for extra H2O conservation staff. Prohibitions on water use: we are echoing State rules.  We have applied for AG Certification Water Use exclusion  We are in the process of collecting occupancy rates for our hotels. June data won't be available to us until end of July. Carlsbad has the 2nd highest # of hotels in SD County - tourism clearly amplifies demand for water in Carlsbad.,84838,107.94,,,424649580,563234192,108.5,0.65,No Correction,South Coast,143.8
