Reporting_Month,Timestamp,Supplier_Name,Stage_Invoked,Mandatory_Restrictions,Total_Monthly_Potable_Water_Production_2014_2015,Total_Monthly_Potable_Water_Production_2013,Units,Qualification,Total_Population_Served,REPORTED_Residential_Gallons_per_Capita_Day,Optional_Enforcement_Actions,Optional_Implementation,Optional_Recycled_Water,Recycled_Water_Units,CALCULATED_Production_Monthly_Gallons_Month_2014_2015,CALCULATED_R_GPCD_2014_2015,Percent_Residential_Use,Comments_Corrections,Hydrologic_Region,CALCULATED_R_GPCD_2013
15-Nov,11/01/2015  00:00:00,Orange Vale Water Company,4,Yes,163.43,295.93,AF,,14283,108,,,,AF,"8,374,382", 106.9 ,86,No Correction,Sacramento River,
15-Nov,11/01/2015  00:00:00,Dublin San Ramon Services District,Stage 1,Yes,182.189,266.545,MG,,80175,69.2,,,0.142,MG,"46,411,000", 69.2 ,91.3,No Correction,San Francisco Bay,
15-Nov,11/01/2015  00:00:00,Los Angeles Department of Water and Power,2,Yes,39271,43694,AF,"LADWP continues with the implementation of water conservation efforts to meet its 16% cumulative reduction mandate according to SWRCB Emergency Drought Regulations. Despite hotter and dryer conditions than recorded long term averages in November, LADWP was able to meet its required 16% cumulative reduction for the month.  ",4023175,72.1,"To date, our Water Conservation Response Unit (WCRU), a.k.a. Water Cops, has issued over 10,000 letters and citations since January 2014. WCRU actively patrol Los Angeles communities and enforce the Citys Emergency Water Conservation Ordinance. The WCRU investigates reports of wasteful water use and educates violators on the importance of complying with the Water Conservation Ordinance. The WCRU also catches additional violations that were not reported while patrolling neighborhoods. The first official penalty is a citation (warning) letter. Repeat violators are issued monetary fines ranging from $100-$600. Because LADWP has had an emergency water conservation ordinance with outdoor watering restrictions in effect since 2009, LADWPs customers have been well educated for some time now on ordinance requirements. Therefore, most customers who receive a contact from the WCRU and/or a warning letter respond very well and change their habits immediately. This explains why LADWP has not issued many fines in recent years. ","The LA Mayor and City Council approved amendments to the Citys Emergency Water Conservation Ordinance Plan on June 17, 2015 to include the following new and/or stricter restrictions: no irrigation 48 hours after a rain event; 2 days per week watering schedule; requirements for the use of pool covers and restrictions on filling residential pools; and restrictions on filling decorative fountains or ponds used solely for aesthetic purposes.  In December 2014, LADWP started its WaterSmart Pilot Study, which is a behavior efficiency program that aims to educate customers on their water use and the need to conserve through focused outreach through bi-monthly Home Water Reports.  LADWP started an AMI pilot program in April 2015 which will ultimately include the installation of around 600 smart meters on targeted customers within the next 18 months.  LADWP started a Water Loss Task Force recently to evaluate various options for improving water loss control and reducing water losses in LADWPs water distribution system. LADWP also has an annual pipe replacement program to reduce leaks in LADWPs water distribution system.  Staffing for both our WCRU enforcement unit and conservation group has increased in recent months. LADWP has also doubled funding for public outreach and education on the drought.   In addition, LADWP recognizes the importance of reaching out to high water users and has implemented multiple strategies to encourage them to reduce water use. LADWP is developing short-term and long-term conservation strategies to develop better tools for targeting these customers.   In May 2015, LADWP sent water conservation letters to the top 1 percent high water users of LADWPs single-family customers (approximately 4,600 customers). These letters stressed the importance of complying with the Ordinance restrictions and provided water saving tips and rebate information to the customers.  Additionally, LADWP enrolled 2,000 of its high water using single family customers in its Home Water Use Report Pilot Program (Pilot).   On November 20, 2015, a second water conservation letter was sent to the top 1 percent water users. The letters remind these customers on the importance of reducing their water use during this drought.   LADWP will continue planning and implementing strategies to encourage water savings among high water use customers.  ",1035,AF,"3,573,286,748", 72.1 ,68,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Camrosa Water District,stage three,Yes,642,703,AF,,35783,129,,,,AF,"35,843,657", 129.0 ,66.22,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,El Dorado Irrigation District,2,Yes,1434,2372,AF,Monthly production includes estimated agricultural use of 26%. The estimated percentages for residential and agricultural use vary from month to month due to the Districts bi-monthly meter reading cycles. Monthly production includes wholesale deliveries to the City of Placerville because they are not an urban water supplier. The District has elected not to exclude commercial agriculture deliveries from total potable water production at this time. The District's population has been updated based on an annual review and update of all customer accounts.,118500,79,,"El Dorado Irrigation District participated in a regional effort to collect $150,000 in additional funding to expand the regions public outreach program, which includes television, radio, online and social media water conservation messaging. The program, managed by the Regional Water Authority, represents a collaboration of 20 water agencies in the Sacramento region and will be active from September 2015 through February 2016.",86,AF,"71,035,611", 78.9 ,60,No Correction,Sacramento River,
15-Nov,11/01/2015  00:00:00,El Centro  City of,2,Yes,174840000,186629000,G,,44311,92,,,,G,"52,452,000", 92.1 ,70,No Correction,Colorado River,
15-Nov,11/01/2015  00:00:00,Milpitas  City of,2,Yes,267278,345879,CCF,,70817,,,,,CCF,"92,871,397", 58.3 ,62,No Correction,San Francisco Bay,
15-Nov,11/01/2015  00:00:00,Santa Rosa  City of,1 - mandatory,Yes,353462006,486628234,G,"Santa Rosa obtains its production data on a billing cycle basis (Santa Rosa has no control over this) which fluctuates between 27-35 days each month. Consequently, the State's method of reporting using a calendar month basis skews the data for agencies such as Santa Rosa that have a billing period cycle that fluctuates. For example, the City had 27 days in the November 2015 billing cycle vs. 28 days in November 2013. Using the State's calendar month method resulted in a calculated savings of 27.4% (comparing Nov 2015 to Nov 2013), whereas using the actual number of billing cycle days results in a normalized calculated savings of 24.7% for that same period.",170974,49,,"The City of Santa Rosa is continuing to provide leadership in the conservation arena by maintaining strong outreach to the community via bill insert messaging, multiple rebate programs and media presence on the web including facebook.",,G,Null, 48.2 ,70,No Correction,North Coast,
15-Nov,11/01/2015  00:00:00,Westminster  City of,Level 2,Yes,805.8,974.3,AF,"805.8 A/F *325,851= 262,570,736 (Gallons) *81%=212682296 /93,322 (Population) = 2279/ 30 days= 75.9 R-GPCD   805.8 A/F-351.6 (Allocated GWRS) = 454.2 A/F *325,851(Gallons) *81% =119,881,234.6 (Gallons) /93,322 (Population) = 1284.6/ 30 days= 42.8 R-GPCD IPR",93322,75.92,"The Westminster Water Division issued warnings on 395 violations, followed up with 40 last chance before a fine letters in an effort to make multiple points of contact to stop water wasting and sent fines to 2 residents, via written notification, as well as in person follow-ups at sites to help address water wasting issues.","The Westminster Water Division reallocated one personnel to be a Water Conservation Assistant in September as well as adding a part-time administrative aide in November who is helping organize the violation database. The Conservation Assistant made exceptional progress, especially with the Westminster Mall, one of our largest commercial areas managed by Simmons Group, to fix hundreds of broken sprinklers and move toward California friendly landscaping.   Community outreach: The Water Superintendent made a presentation at the Local Kiwanis Group, explaining the severity of the drought, conservation tips and giving out our popular conservation buckets. We also sponsored a Girl Scout Gold Award project, holding an educational conservation meeting for over 50 Westminster students and parents. We educated attendees on our water restrictions, the drought, water sources and how they can save water.",0,AF,"50,018,194", 76.0 ,81,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Mid-Peninsula Water District,2,Yes,77733,106535,CCF,,26030,62,,,0,CCF,"14,675,283", 63.3 ,85,No Correction,San Francisco Bay,
15-Nov,11/01/2015  00:00:00,Olivenhain Municipal Water District,2,Yes,1222.2,1349.6,AF,Wholesale invoices are used for production data. Population is based on figures calculated by California Department of Finance. % Residential-Usage by code (customer sector) is not available at the time of reporting so a three-year average of water used by residential customers in this month is used. Usage data not available at time of reporting so three-year averages are used. ,84351,115,"Meter readers investigate accounts with increase in usage of 200%, or any pattern of usage that is out of the ordinary.  Customers are called in an effort to prevent water waste from potential leaks.   Budget increased to hire contractor dedicated to enforcement and water conservation monitoring, who patrols service area.  Contractor assisted by drought intern from wholesaler.   Enforcement of mandatory water use restrictions is a responsibility of each employee and mandatory training has been implemented.  Waste complaints via hotline, wholesaler mobile application, state reporting tool, and online form increase monthly.  Warning letters offer free water use evaluation, restrictions and drought information, and tips to reduce usage by 32%.  OMWD allows a 21-day grace period to allow customer to remedy violation.  Customer is not issued another violation if a report is received for the same violation during this time.  If a report of a repeat violation is received during the 21-day grace period, the customer is called rather than issued another written violation. ","Revised Water Supply Shortage Ordinance to include new mandates and move to a 2-day watering week as of June 1. Implement drought Level 2 rates effective July 1.  www.olivenhain.com/shortage.  Customers have been responsive to outreach and enforcement actions, taking advantage of water audits to irrigate more efficiently, and researching high-efficiency watering devices as well as sustainable landscape techniques. Restrictions announced on each hardcopy bill and eBill notification, in each hardcopy and electronic newsletter, on website, in social media, in lobby displays, in handouts and poster boards at community events, and in target marketing to top 200+ residential users and Top 20 + commercial users. OMWD is transitioning to AMI technologies. Partnered with California State University San Marcos on behavioral study whereby interns walk neighborhoods educating customers on good water habits and water use restrictions. Target marketing campaigns to top 20 potable commercial users, and top 200+ residential customers. ",72,AF,"61,911,771", 114.9 ,73,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Daly City  City of,II,Yes,247967,265484,CCF,,105810,55,,,0,CCF,"36,529,621", 54.9 ,94,No Correction,San Francisco Bay,
15-Nov,11/01/2015  00:00:00,Delano  City of,2,Yes,165.789,199.964,MG,The population was taken from the 2010 UWMP and residential numbers were taken from 2013-2015 history data supplied by our Finance Department.,54318,50,The city has hired an additional employee to patrol and issue warnings or citations as needed. The city is still concentrating on education as the primary enforcement. Meters are being installed on all non- metered customers that do not comply and all un-metered accounts in high use areas. ,The city has implemented the required regulations and is monitoring all usages to assist in staying in compliance.,0,MG,"73,700,000", 49.9 ,49,No Correction,Tulare Lake,
15-Nov,11/01/2015  00:00:00,Anaheim  City of,III,Yes,4403,4850,AF,"The monthly productions represent the water demand in the 30 days of November 2013 and 2015. The production includes groundwater, imported water, and water from storage less untreated water delivery to Anaheim Hills Golf Course. The Residential Use Percentage excludes system water losses. Anaheims share of Indirect Potable Reuse (IPR) or GWRS water in November = 1,430 AF. Anaheims adjusted Total Potable Water Production (excluding IPR) = 2,973 AF. Anaheims adjusted GPCD (excluding IRP) = 52.1.",360142,77.1,"The complaints of 316 included 132 Anaheim Anytime +156 Water Savers Log + 2 Customer Log + 26 CSRs. The follow-ups of 316 included 132 Anaheim Anytime +156 Water Savers Follow-ups + 2 Customer Log + 26 CSRs. Warnings of 303 included 132 door hangers, 156 Water Savers Log, and 15 Code Enforcement notices.",Added 2 water conservation specialists.,5,AF,"560,138,603", 77.2 ,58.1,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Elsinore Valley Municipal Water District,Stage 4a,Yes,1390.2,1718.6,AF,,149774,76.01,,"In response to the State Water Boards Notice of Violation for failure to meet water conservation standards on August 10, 2015, EVMWD has provided the requested information. To comply with the State Mandate, EVMWD implementated a comprehensive Drought Action Plan, at a cost of nearly $1.4 million. The Drought Action Plan includes enforcement fines, drought water and surcharge rates, and a variety of conservation programs. The letter included several attached documents, which demonstrate EVMWDs commitment to water conservation and to achieving the water conservation target: Water Waste Warning Door Hanger, Water Budget/Drought Bill Stuffer, Water Commodity Rates, Special Edition Water Log Customer Newsletter, Ordinance No. 225 (Water Shortage Contingency Plan), Resolution No. 15-05-05 (Water Efficient Landscape Standards), Resolution No. 15-07-03 (Revising Various Water, Recycled Water, and Wastewater Rates, Fees, and Charges), Resolution No. 5-05-06 (Water Shortage Contingency Plan).",468.8,AF,"115,318,820", 75.6 ,75,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Coachella Valley Water District,3,Yes,7709.4,9918.6,AF,Data obtained from city planning departments within the CVWD service area indicated a snowbird or seasonal population of approximately 32.8%. Total population for this report was adjusted from the original census data to include these residents who own homes and use potable water for landscape purposes in all months of the year. ,318217,182.9,,"The Coachella Valley Water District is utilizing a water budget-based tiered rates system to help achieve its conservation goal. Outdoor water budgets have been reduced 36%, and a drought penalty has been added for customers exceeding the reduced outdoor water budget. We also recently restricted days per week by not allowing watering Monday or Thursday.",,AF,"766,207,045", 183.4 ,69.7,No Correction,Colorado River,
15-Nov,11/01/2015  00:00:00,Lake Hemet Municipal Water District,3,Yes,581.6,863.3,AF,Added,52914,93,,,,AF,"20,033,346", 93.0 ,77.9,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Carmichael Water District,2,Yes,128.89,212.49,MG,Carmichael Water District collects meter data on a bi-monthly basis.  residential use is based on previous years data.  CII is based on best estimate. ,38354,99.6,,CWD is a partner with Save our water CWD is a member of the Regional Water Authority CWD has implemented one day a week watering schedule,,MG,"10,190,000", 99.7 ,89,No Correction,Sacramento River,
15-Nov,11/01/2015  00:00:00,Monte Vista Water District,Significant Water Supply Shortage,Yes,613.97,748.48,AF,"Please note the following:  November 2015 was our lowest November production month in 20 years and 21% below the prior 15-year average for the month.  November 2013 was already 18% below usage in the same month in 2007 (when current long-term drought began).   Commercial, Industrial, and Institutional Water: CII monthly consumption reflects bimonthly usage of accounts labeled commercial, institutional, manufacturing, or nursery and billed during the reporting month. ",56039,80,,,20.88,AF,"48,476,917", 79.7 ,67,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Pleasanton  City of,Stage 3,Yes,225.186,365.305,MG,,73067,57.6,,,5.356,MG,"98,890,000", 57.6 ,56.1,No Correction,San Francisco Bay,
15-Nov,11/01/2015  00:00:00,Santa Monica  City of,2,Yes,296.2,370.4,MG,"Please note that the value for Commercial, Industrial, and Institutional Water (CII) usage for November 2015 is the average of CII billing for October and November 2015 and should be considered an estimate. We are not able to discern exact consumption for a segment of customers for a single month because our meter reading is bimonthly.",93283,69.9,,,4.7,MG,"105,200,000", 69.9 ,66,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Riverside  City of,Stage 3,Yes,4351,4953,AF,,298590,95,,,17,AF,"523,969,095", 95.0 ,60,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Contra Costa Water District,3,Yes,2110,2815,AF,Reported values are based on consumption data.,199680,92,"CCWDs 2015 Drought Management Program includes  a temporary pricing adjustment on the unit cost of water and a fine for violations of the water use prohibitions. CCWD is performing ongoing outreach to its customers, including communication on prohibited uses such as outdoor watering more than 2 times per week and washing down pavement. CCWD has also performed outreach to restaurants and hotels to address new prohibited water uses (and corresponding enforcement).",,,AF,"134,250,788", 92.4 ,80.5,No Correction,San Francisco Bay,
15-Nov,11/01/2015  00:00:00,"Imperial, City of",1,Yes,61619000,65648000,G,,18022,102.34,"The City has allocated an additional staff member to assist Code Enforcement with warning actions beginning August 2015. Also, beginning October 2015 the City began promoting a Water Conservation Booth at the City sponsored Farmers Market.  Low flow shower heads, toilet flappers, toilet tank banks, shower timers, water nozzles, leak detection tablets, conservation information pamphlets, and other items are given away. ",,,G,"8,963,538", 102.3 ,89.79,No Correction,Colorado River,
15-Nov,11/01/2015  00:00:00,California Water Service Company Antelope Valley,2,Yes,20.9,55.6,AF,CII quantity of water included all non-residential sales. ,3422,61.7,,,,AF,"944,969", 61.7 ,93,No Correction,South Lahontan,
15-Nov,11/01/2015  00:00:00,Irvine Ranch Water District,2,Yes,3749.53,4586.6,AF,"IRWD has adjusted its November 2015 potable water production number. This adjustment is based on the timing of IRWD's potable water production well meter reads. For the baseline month of November 2013, 27 days elapsed between the current and prior read; however, for November 2015, 30 days elapsed between the current and prior read. To account for this three day difference, the November 2015 acre-feet prodduction was adjusted down by three days to more closely approximate the baseline conditions. The difference between the original (4094.00 AF) and adjusted (3749.53 AF) production will be added to the December 2015 production reported number.   IRWD has been experiencing significant 7% growth in service area population since the 2013 baseline year. To account for the effects of population growth on potable water production, IRWD was able to determine a growth-adjusted potable water production amount for November 2013 of 4,908 AF. The percent difference between this number and the current November 2015 production is 24%. The officially reported reduction of 18% from November 2013 does not take into account population growth and the related effects on potable water production; however, since the intent of Executive Order B-29-15 is not to hinder economic growth, it is valuable to additionally report a growth-corrected savings figure. ",390318,60.97,,IRWD is implementing an approved Alternate Plan and recently made changes to its FY 2015/16 rates so that IRWD can meet its mandated 16% reduction in potable water use by February 2016. IRWD has also expanded its conservation activities and drought messaging (see actions list above).,2147.4,AF,"394,456,186", 60.5 ,58,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Watsonville  City of,Statewide Emergency Conservation,Yes,150198420,205814012,G,,65739,49,"City staff will follow up once a problem of water waste has been reported. We offer information about how to reduce water waste and schedule a free, one-time Water Conservation Consultation to help fix the problem. If water waste continues beyond the educational warning and Water Conservation Consultation, the City will begin fines to address further ongoing water waste violations.",,,G,"44,933,634", 52.0 ,68.3,No Correction,Central Coast,
15-Nov,11/01/2015  00:00:00,San Jose  City of,3,Yes,341,493,MG,"Muni Water bills bimonthly, so % Residential Use and Commercial, Industrial, and Institutional (CII) use are based on billing data for the volume of water provided to residential customers and to CII customers, respectively, as a percentage of total water consumption for the reporting month and prior month of the previous year. The % Residential Use and CII Use will be revised to reflect the current years data when billing is finalized. Also, CII data may not include all outdoor usages since dedicated landscape irrigation meters cannot be easily separated by use type with the current billing system. We are looking into methodologies to update the calculation for CII usage. Recycled water information is customer usage data, which is also billed bimonthly.  In July 2015 this data was manually summed due to a change in the billing system.  As of October 2015 a data query report has been created so data will be reported consistently and accurately for October 2015 and future months.  Population for 2015 was recently estimated (reported as total population served and used to calculate Res GPCD). Population is based on the population estimated in our 2010 UWMP and projected annually consistent with the States simplified method for estimating service area population, but 2000 Census data was used when we estimated population for the 2010 UWMP. We are obtaining 2010 Census data for our service area and are working on updating the calculation to use the 2010 Census data.",117576,44,"San Jose City Council has approved an amendment of the Administrative Citation Schedule of Fines, to increase the fine amount for violations of water waste restrictions ($250 for first violation; $500 for subsequent violations). Muni Water has also continued all enforcement efforts described in previous months. Enforcement data is estimated and based on data from reports received from the State Water Waste reports and the Access Valley Water database managed by Santa Clara Valley Water District, which receives, validates and dispatches the water waste service requests from the public in Santa Clara County.","San Jose City Council on April 21 declared a water shortage of 30%, which triggered Stage 3 of Muni Waters Water Shortage Contingency Plan (WSCP). Outdoor irrigation is now limited by a two day a week mandatory watering schedule not before 10am and after 8pm.  Muni Water will continue to notifying its customers of the mandatory watering schedule and water use restrictions, which are triggered by Stage 3 of the WSCP.",131,MG,"86,000,000", 53.2 ,55,No Correction,San Francisco Bay,
15-Nov,11/01/2015  00:00:00,Dinuba  City of,3,Yes,77.72,139.94,MG,,23666,81.78,,,,MG,"28,040,000", 82.1 ,75,No Correction,Tulare Lake,
15-Nov,11/01/2015  00:00:00,Casitas Municipal Water District,Stage 2,Yes,1028,932.59,AF,,9603,96,,"This is preliminary information. The amount of metered water information is only estimated from what was used in the previous month. Please note, the water loss amount in the system can range from 100 to 200 acre-feet out of almost 2,000 acre-feet sold in total but the entire loss amount is being placed on a very small portion of the water demand because resale demand is subtracted. This can drastically alter the accuracy for any one month of reporting on actual water demand reductions for direct urban customers.",,AF,"26,068,114", 96.0 ,8.26,No Correction,South Coast,
